q[nm-1]	I(q)[sr-1]_sub(Lyso_Lyso_4_frames_010_350.dat_00001_[</fileinfo>]-Lyso_Buffer_2_000_350_mult.dat_00001_[mult(Lyso_Buffer_2_000_350.dat_00001_[</fileinfo>]*0.7000)])	error
4.41723600e+00	6.40890700e-01	1.39362780e-01
4.42721400e+00	6.02334500e-01	1.40167972e-01
4.43719300e+00	1.08726240e+00	1.49227974e-01
4.44717200e+00	7.29079700e-01	1.41648435e-01
4.45715100e+00	7.66437300e-01	6.72564738e+00
4.46713000e+00	6.64930300e-01	6.67279296e+00
4.47710900e+00	7.05058200e-01	1.41487156e-01
4.48708800e+00	6.02237200e-01	1.38446031e-01
4.49706600e+00	9.31918900e-01	1.44735506e-01
4.50704500e+00	7.95011200e-01	1.44337070e-01
4.51702400e+00	7.71356900e-01	1.40533616e-01
4.52700300e+00	6.65138700e-01	1.41762592e-01
4.53698200e+00	6.49800200e-01	6.65268257e+00
4.54696100e+00	6.31618600e-01	6.65224611e+00
4.55694000e+00	9.00514200e-01	6.83086885e+00
4.56691800e+00	7.84432600e-01	1.41751960e-01
4.57689700e+00	9.09412400e-01	1.44732475e-01
4.58687600e+00	5.23294000e-01	1.34984524e-01
4.59685500e+00	5.41504700e-01	1.35880827e-01
4.60683400e+00	7.22167600e-01	1.39038863e-01
4.61681300e+00	5.93531000e-01	1.37621622e-01
4.62679100e+00	7.88998400e-01	1.41010433e-01
4.63677000e+00	8.14851200e-01	1.40443836e-01
4.64674900e+00	5.32273700e-01	1.36008551e-01
4.65672800e+00	7.65150200e-01	1.39761297e-01
4.66670700e+00	7.90274100e-01	1.41416499e-01
4.67668600e+00	7.77083400e-01	1.39621877e-01
4.68666500e+00	7.01809200e-01	1.38577156e-01
4.69664300e+00	7.06723700e-01	1.40334002e-01
4.70662200e+00	5.52406300e-01	6.66766083e+00
4.71660100e+00	6.80734700e-01	6.73920100e+00
4.72658000e+00	6.91778500e-01	1.41898095e-01
4.73655900e+00	7.54789800e-01	1.44668483e-01
4.74653800e+00	4.10849700e-01	4.02441704e+00
4.75651700e+00	8.65546100e-01	4.05003329e+00
4.76649500e+00	6.66868100e-01	4.00555879e+00
4.77647400e+00	8.15850500e-01	1.47020049e-01
4.78645300e+00	9.15269000e-01	1.50166735e-01
4.79643200e+00	7.43542100e-01	1.46623003e-01
4.80641100e+00	5.15953200e-01	1.42260722e-01
4.81639000e+00	7.01841500e-01	6.78506391e+00
4.82636900e+00	8.93823900e-01	6.88976741e+00
4.83634700e+00	7.71411100e-01	6.82395820e+00
4.84632600e+00	8.64041000e-01	6.86361855e+00
4.85630500e+00	5.55054800e-01	1.47159441e-01
4.86628400e+00	9.94527800e-01	1.54792876e-01
4.87626300e+00	6.54996100e-01	1.48624947e-01
4.88624200e+00	8.33452300e-01	1.56668152e-01
4.89622100e+00	8.28225200e-01	1.55573378e-01
4.90619900e+00	9.86722700e-01	1.61783826e-01
4.91617800e+00	5.67393900e-01	1.53292696e-01
4.92615700e+00	9.71834700e-01	1.63211924e-01
4.93613600e+00	8.28696800e-01	1.62525962e-01
4.94611500e+00	7.60725100e-01	1.59288943e-01
4.95609400e+00	8.48715200e-01	1.63289138e-01
4.96607300e+00	4.76652800e-01	1.53871427e-01
4.97605100e+00	6.88977900e-01	1.60354836e-01
4.98603000e+00	2.23783700e-01	1.49276911e-01
4.99600900e+00	5.94475500e-01	1.57702314e-01
5.00598800e+00	9.55447200e-01	1.69475445e-01
5.01596700e+00	6.73343300e-01	1.62640611e-01
5.02594600e+00	1.02045510e+00	1.71089752e-01
5.03592400e+00	1.12745290e+00	1.71895633e-01
5.04590300e+00	6.48983200e-01	1.64485421e-01
5.05588200e+00	4.66253600e-01	1.59362120e-01
5.06586100e+00	6.80248500e-01	1.65199033e-01
5.07584000e+00	8.95994100e-01	1.71430497e-01
5.08581900e+00	7.08109700e-01	6.85515272e+00
